chandrasekhar,rayleigh,timestep,Nx,Ny,Nz
1e4,1.4e6,2e-05,192,192,96.0
1e5,1e7,5e-06,192,192,48.0
1e6,1e8,2e-06,384,384,48.0
1e7,1.1e8,2e-07,192,192,48.0
1e7,3e8,2e-07,192,192,48.0
1e7,1e9,2e-07,384,384,96.0
1e8,1e10,2e-08,384,384,144.0
