chandrasekhar,rayleigh,timestep,Nx,Ny,Nz
1e6,1.3e7,2e-06,96,96,96.0
1e6,4e7,1e-06,192,192,192.0
1e6,1e8,2e-06,384,384,192.0
1e6,3e8,2e-06,384,384,192.0
1e6,6e8,5e-07,768,768,192.0
1e6,8e8,5e-07,768,768,192.0
